SEARCH_ENGLISH|QUIZ_ENGLISH|SUBSECTION_ENGLISH|SEARCH_SPANISH|QUIZ_SPANISH|SUBSECTION_SPANISH|SEARCH_FRENCH|QUIZ_FRENCH|SUBSECTION_FRENCH|SEARCH_ITALIAN|QUIZ_ITALIAN|SUBSECTION_ITALIAN|SEARCH_CHINESE|QUIZ_CHINESE|SUBSECTION_CHINESE|SEARCH_ARABIC|QUIZ_ARABIC|SUBSECTION_ARABIC|SEARCH_RUSSIAN|QUIZ_RUSSIAN|SUBSECTION_RUSSIAN|X-Axis|Y-Axis|SOURCE IMAGE|SECTION
Bone, Ribs, Rib 1|Rib 1|Ribs|Hueso, Costillas, Costilla 1|Costilla 1|Costillas|Os, Côtes, Côte 1|Côte 1|Côtes|Osso, Costole, Costola 1|Costola 1|Costolette|骨，肋骨，肋骨1|肋骨1|肋骨|العظام، الأضلاع، الضلع 1|الضلع 1|ضلوع|Кость, Ребра, Ребро 1|Ребро 1|Ребра|2187|1846|15 - BONES - 06.jpg|15 - Bones
Bone, Ribs, Rib 2|Rib 2|Ribs|Hueso, Costillas, Costilla 2|Costilla 2|Costillas|Os, Côtes, Côte 2|Côte 2|Côtes|Osso, Costole, Costola 2|Costola 2|Costolette|骨，肋骨，肋骨2|肋骨2|肋骨|العظام، الأضلاع، الضلع 2|الضلع 2|ضلوع|Кость, Ребра, Ребро 2|Ребро 2|Ребра|2419|2110|15 - BONES - 06.jpg|15 - Bones
Bone, Ribs, Rib 3|Rib 3|Ribs|Hueso, Costillas, Costilla 3|Costilla 3|Costillas|Os, Côtes, Côte 3|Côte 3|Côtes|Osso, Costole, Costola 3|Costola 3|Costolette|骨，肋骨，肋骨3|肋骨3|肋骨|العظام، الأضلاع، الضلع 3|الضلع 3|ضلوع|Кость, Ребра, Ребро 3|Ребро 3|Ребра|2515|2325|15 - BONES - 06.jpg|15 - Bones
Bone, Ribs, Rib 4|Rib 4|Ribs|Hueso, Costillas, Costilla 4|Costilla 4|Costillas|Os, Côtes, Côte 4|Côte 4|Côtes|Osso, Costole, Costola 4|Costola 4|Costolette|骨，肋骨，肋骨4|肋骨4|肋骨|العظام، الأضلاع، الضلع 4|الضلع 4|ضلوع|Кость, Ребра, Ребро 4|Ребро 4|Ребра|2603|2573|15 - BONES - 06.jpg|15 - Bones
Bone, Ribs, Rib 5|Rib 5|Ribs|Hueso, Costillas, Costilla 5|Costilla 5|Costillas|Os, Côtes, Côte 5|Côte 5|Côtes|Osso, Costole, Costata 5|Costola 5|Costolette|骨，肋骨，肋骨5|肋骨5|肋骨|العظام، الأضلاع، الضلع 5|الضلع 5|ضلوع|Кость, Ребра, Ребро 5|Ребро 5|Ребра|2627|2821|15 - BONES - 06.jpg|15 - Bones
Bone, Ribs, Rib 6|Rib 6|Ribs|Hueso, Costillas, Costilla 6|Costilla 6|Costillas|Os, Côtes, Côte 6|Côte 6|Côtes|Osso, Costole, Costola 6|Costola 6|Costolette|骨，肋骨，肋骨6|肋骨6|肋骨|العظام، الأضلاع، الضلع 6|الضلع 6|ضلوع|Кость, Ребра, Ребро 6|Ребро 6|Ребра|2666|3061|15 - BONES - 06.jpg|15 - Bones
Bone, Ribs, Rib 7|Rib 7|Ribs|Hueso, Costillas, Costilla 7|Costilla 7|Costillas|Os, Côtes, Côte 7|Côte 7|Côtes|Osso, Costole, Costola 7|Costola 7|Costolette|骨，肋骨，肋骨7|肋骨7|肋骨|العظام، الأضلاع، الضلع 7|الضلع 7|ضلوع|Кость, Ребра, Ребро 7|Ребро 7|Ребра|2682|3341|15 - BONES - 06.jpg|15 - Bones
Bone, Ribs, Rib 8 (False)|Rib 8 (False)|Ribs|Hueso, Costillas, Costilla 8 (Falso)|Costilla 8 (Falso)|Costillas|Os, Côtes, Côte 8 (Faux)|Côte 8 (Faux)|Côtes|Osso, Costole, Costola 8 (Falso)|Costola 8 (Falso)|Costolette|骨，肋骨，肋骨8（假）|肋骨8（假）|肋骨|العظام، الأضلاع، الضلع 8 (الكاذب)|الضلع 8 (الكاذب)|ضلوع|Кость, Ребра, Ребро 8 (Ложное)|Ребро 8 (ложное)|Ребра|2659|3612|15 - BONES - 06.jpg|15 - Bones
Bone, Ribs, Rib 9 (False)|Rib 9 (False)|Ribs|Hueso, Costillas, Costilla 9 (Falso)|Costilla 9 (Falso)|Costillas|Os, Côtes, Côte 9 (Faux)|Côte 9 (Faux)|Côtes|Osso, Costole, Costola 9 (Falso)|Costola 9 (Falso)|Costolette|骨，肋骨，肋骨9（假）|肋骨9（假）|肋骨|العظام، الأضلاع، الضلع 9 (الكاذب)|الضلع 9 (الكاذب)|ضلوع|Кость, Ребра, Ребро 9 (Ложное)|Ребро 9 (ложное)|Ребра|2690|3788|15 - BONES - 06.jpg|15 - Bones
Bone, Ribs, Rib 10 (False)|Rib 10 (False)|Ribs|Hueso, Costillas, Costilla 10 (Falso)|Costilla 10 (Falso)|Costillas|Os, Côtes, Côte 10 (Faux)|Côte 10 (Faux)|Côtes|Osso, Costole, Costola 10 (Falso)|Costola 10 (Falso)|Costolette|骨，肋骨，肋骨10（假）|肋骨10（假）|肋骨|العظام، الأضلاع، الضلع 10 (الكاذب)|الضلع 10 (الكاذب)|ضلوع|Кость, Ребра, Ребро 10 (Ложное)|Ребро 10 (ложное)|Ребра|2682|4012|15 - BONES - 06.jpg|15 - Bones
Bone, Ribs, Rib 11 (Floating)|Rib 11 (Floating)|Ribs|Hueso, Costillas, Costilla 11 (Flotante)|Costilla 11 (Flotante)|Costillas|Os, Côtes, Côte 11 (Flottant)|Côte 11 (flottant)|Côtes|Osso, Costole, Costola 11 (Fluttuante)|Costola 11 (Fluttuante)|Costolette|骨，肋骨，肋骨11（浮动）|肋骨11（浮动）|肋骨|العظام، الأضلاع، الضلع 11 (العائمة)|الضلع 11 (العائم)|ضلوع|Кость, Ребра, Ребро 11 (Плавающее)|Ребро 11 (плавающее)|Ребра|2100|3492|15 - BONES - 06.jpg|15 - Bones
Bone, Ribs, Rib 12 (Floating)|Rib 12 (Floating)|Ribs|Hueso, Costillas, Costilla 12 (Flotante)|Costilla 12 (Flotante)|Costillas|Os, Côtes, Côte 12 (Flottant)|Côte 12 (flottant)|Côtes|Osso, Costole, Costola 12 (Fluttuante)|Costola 12 (Fluttuante)|Costolette|骨，肋骨，肋骨12（浮动）|肋12（浮动）|肋骨|العظام، الأضلاع، الضلع 12 (العائمة)|الضلع 12 (العائم)|ضلوع|Кость, Ребра, Ребра 12 (Плавающее)|Ребро 12 (плавающее)|Ребра|2379|4188|15 - BONES - 06.jpg|15 - Bones
Bone, Spine, Vertebrae, Thoracic 1|Thoracic Vertebra 1|Spine|Hueso, Columna Vertebral, Vértebras, Torácica 1|Vértebra Torácica 1|Espina|Os, Colonne Vertébrale, Vertèbres, Thoracique 1|Vertebra thoracique 1|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Toracico 1|Vertebra Toracica 1|Colonna Vertebrale|骨，脊柱，椎骨，胸1|胸椎1|脊柱|العظام، العمود الفقري، الفقرات، الصدر 1|الصدر 1|العمود الفقري|Кость, Позвоночник, Позвонок, грудной 1|грудной позвонок 1|Позвоночник|1858|1835|15 - BONES - 06.jpg|15 - Bones
Bone, Shoulder, Clavicle|Clavicle|Shoulder|Hueso, Hombro, Clavícula|Clavícula|Hombro|Os, Épaule, Clavicule|Clavicule|Épaule|Osso, Spalla, Clavicola|Clavicola|Spalla|骨，肩膀，锁骨|锁骨|肩|العظام، الكتف، الترقوة|الترقوة|كتف|Кость, Плечо, Ключица|ключица|Плечо|2595|1902|15 - BONES - 06.jpg|15 - Bones
Bone, Shoulder, Scapula Acromion|Acromion of Scapula|Shoulder|Hueso, Hombro, Acromion de Escápula|Acromion de Escápula|Hombro|Os, Épaule, Scapula Acromion|Acromion de Scapula|Épaule|Osso, Spalla, Scapola Acromion|Acromion Della Scapola|Spalla|骨，肩膀，肩胛骨肩峰|肩胛骨肩峰|肩|العظام، الكتف، اخرم الكتف|اخرم الكتف|كتف|Кость, Плечо, акромион лопатки|Акромион лопатки|Плечо|2906|1942|15 - BONES - 06.jpg|15 - Bones
Bone, Shoulder, Scapula Coracoid Process|Coracoid Process of Scapula|Shoulder|Hueso, Hombro, Escápula, Proceso Coracoides|Proceso Coracoides de la Escápula|Hombro|Os, Épaule, Scapula Processus Coracoïde|Processus coracoïde de l'omoplate|Épaule|Osso, Spalla, Scapola Processo Coracoideo|Processo Coracoideo Di Scapola|Spalla|骨，肩膀，肩胛骨喙突|肩胛骨喙突|肩|العظام، الكتف، الفرع الغرابي للكتف|الفرع الغرابي للكتف|كتف|Кость, Плечо, клювовидный отросток лопатки|клювовидный отросток лопатки|Плечо|2682|2030|15 - BONES - 06.jpg|15 - Bones
Bone, Shoulder, Scapula|Scapula|Shoulder|Hueso, Hombro, Omóplato|Escápula|Hombro|Os, Épaule, Scapula|Omoplate|Épaule|Osso, Spalla, Scapola|Scapola|Spalla|骨，肩膀，肩胛骨|肩胛骨|肩|العظام، الكتف، عظم الكتف|عظم الكتف|كتف|Кость, Плечо, Лопатка|лопатка|Плечо|2659|2214|15 - BONES - 06.jpg|15 - Bones
Bone, Sternum, Manubrium|Manubrium of Sternum|Ribs|Hueso, Esternón, Manubrio|Manubrio de Esternón|Costillas|Os, Sternum, Manubrium|Manubrium de Sternum|Côtes|Osso, Sterno, Manubrio|Manubrio Dello Sterno|Costolette|骨，胸骨，垂管|胸骨垂管|肋骨|العظام، القص، نصاب القص|نصاب القص|ضلوع|Кость, Грудина, рукоятка|рукоятка грудины|Ребра|1852|2150|15 - BONES - 06.jpg|15 - Bones
Bone, Sternum|Sternum|Ribs|Hueso, Esternón|Esternón|Costillas|Os, Sternum|Sternum|Côtes|Osso, Sterno|Sterno|Costolette|骨，胸骨|胸骨|肋骨|العظام، القص|القص|ضلوع|Кость, Грудина|грудина|Ребра|1844|2637|15 - BONES - 06.jpg|15 - Bones
Bone, Sternum, Xyphoid Process|Xyphoid Process of Sternum|Ribs|Hueso, Esternón, Proceso Xifoideo|Proceso Xifoideo del Esternón|Costillas|Os, Sternum, Processus Xyphoïde|Processus Xyphoïde du Sternum|Côtes|Ossa, Sterno, Processo Xifoideo|Processo Xifoideo Dello Sterno|Costolette|骨，胸骨，剑突|胸骨剑突|肋骨|العظام، القص، الرهابه|الرهابه|ضلوع|Кость, Грудина, мечевидный отросток|мечевидный отросток грудины|Ребра|1852|3117|15 - BONES - 06.jpg|15 - Bones
Bone, Ribs, Costal Cartilages|Costal Cartilages of Ribs|Ribs|Hueso, Costillas, Cartílagos Costales|Cartílagos Costales de Costillas|Costillas|Os, Côtes, Cartilages Costaux|Cartilages costaux des côtes|Côtes|Osso, Costole, Cartilagini Costali|Cartilagini Costali Di Costole|Costolette|骨，肋骨，肋骨软骨|肋骨软骨|肋骨|العظام، الأضلاع، الغضروف الضلعي|الغضروف الضلعي|ضلوع|Кость, Ребра, реберные хрящи|хрящи ребер|Ребра|1589|2749|15 - BONES - 06.jpg|15 - Bones
Bone, Spine, Vertebrae, Thoracic 12|Thoracic Vertebra 12|Spine|Hueso, Columna Vertebral, Vértebras, Torácica 12|Vértebra Torácica 12|Espina|Os, Colonne Vertébrale, Vertèbres, Thoracique 12|Vertebra thoracique 12|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Toracica 12|Vertebra Toracica 12|Colonna Vertebrale|骨，脊椎，椎骨，胸部12|胸椎12|脊柱|العظام، العمود الفقري، الفقرات، الصدر 12|الصدر 12|العمود الفقري|Кость, Позвоночник, Позвонок, грудной 12|грудной позвонок 12|Позвоночник|1852|3644|15 - BONES - 06.jpg|15 - Bones
Bone, Spine, Vertebrae, Cervical 1 (Atlas)|Cervical Vertebra 1 (Atlas)|Spine|Hueso, Columna Vertebral, Vértebras, Cervical 1 (Atlas)|Vértebra Cervical 1 (Atlas)|Espina|Os, Colonne Vertébrale, Vertèbres, Cervical 1 (Atlas)|Vertèbre cervicale 1 (Atlas)|Colonne Vertébrale|Bone, Spine, Vertebrae, Cervicale 1 (Atlante)|Cervical Vertebra 1 (Atlante)|Colonna Vertebrale|骨，脊椎，椎骨，颈1（地图集）|颈椎1（Atlas）|脊柱|العظام، العمود الفقري، الفقرات، عنقي 1 (أطلس)|عنقي 1 (أطلس)|العمود الفقري|Кость, Позвоночник, Позвонки, Шейный 1 (Атлас)|Шейный позвонок 1 (Атлас)|Позвоночник|1956|999|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Cervical 2 (Axis)|Cervical Vertebra 2 (Axis)|Spine|Hueso, Columna Vertebral, Vértebras, Cervical 2 (Axis)|Vértebra Cervical 2 (Axis)|Espina|Os, Colonne Vertébrale, Vertèbres, Cervicale 2 (Axe)|Vertèbre cervicale 2 (Axe)|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Cervicale 2 (Epistrofeo)|Cervical Vertebra 2 (Epistrofeo)|Colonna Vertebrale|骨，脊椎，椎骨，颈2（轴）|颈椎2（轴）|脊柱|العظام، العمود الفقري، الفقرات، عنقي 2 (محور)|عنقي 2 (محور)|العمود الفقري|Кость, Позвоночник, Позвонки, Шейный 2 (аксис)|Шейный позвонок 2 (аксис)|Позвоночник|2004|1127|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Cervical 3|Cervical Vertebra 3|Spine|Hueso, Columna Vertebral, Vértebras, Cervical 3|Vértebra Cervical 3|Espina|Os, Colonne Vertébrale, Vertèbres, Cervical 3|Vertèbre cervicale 3|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Cervicale 3|Vertebra Cervicale 3|Colonna Vertebrale|骨，脊椎，椎骨，颈3|颈椎3|脊柱|العظام، العمود الفقري، الفقرات، عنقي 3|عنقي 3|العمود الفقري|Кость, Позвоночник, Позвонок, Шейный 3|шейный позвонок 3|Позвоночник|2020|1238|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Cervical 4|Cervical Vertebra 4|Spine|Hueso, Columna Vertebral, Vértebras, Cervical 4|Vértebra Cervical 4|Espina|Os, Colonne Vertébrale, Vertèbres, Cervical 4|Vertèbre cervicale 4|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Cervicale 4|Vertebra Cervicale 4|Colonna Vertebrale|骨，脊椎，椎骨，颈4|颈椎4|脊柱|العظام، العمود الفقري، الفقرات، عنقي 4|عنقي 4|العمود الفقري|Кость, Позвоночник, Позвонок, Шейный 4|шейный позвонок 4|Позвоночник|1996|1334|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Cervical 5|Cervical Vertebra 5|Spine|Hueso, Columna Vertebral, Vértebras, Cervical 5|Vértebra Cervical 5|Espina|Os, Colonne Vertébrale, Vertèbres, Cervical 5|Vertèbre cervicale 5|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Cervicale 5|Vertebra Cervicale 5|Colonna Vertebrale|骨，脊椎，椎骨，颈5|颈椎5|脊柱|العظام، العمود الفقري، الفقرات، عنقي 5|عنقي 5|العمود الفقري|Кость, Позвоночник, Позвонок, Шейный 5|шейный позвонок 5|Позвоночник|1980|1430|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Cervical 6|Cervical Vertebra 6|Spine|Hueso, Columna Vertebral, Vértebras, Cervical 6|Vértebra Cervical 6|Espina|Os, Colonne Vertébrale, Vertèbres, Cervical 6|Vertèbre cervicale 6|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Cervicale 6|Vertebra Cervicale 6|Colonna Vertebrale|骨，脊椎，椎骨，颈6|颈椎6|脊柱|العظام، العمود الفقري، الفقرات، عنقي 6|عنقي 6|العمود الفقري|Кость, Позвоночник, Позвонок, Шейный 6|шейный позвонок 6|Позвоночник|1972|1542|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Cervical 7|Cervical Vertebra 7|Spine|Hueso, Columna Vertebral, Vértebras, Cervical 7|Vértebra Cervical 7|Espina|Os, Colonne Vertébrale, Vertèbres, Cervical 7|Vertèbre cervicale 7|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Cervicale 7|Vertebra Cervicale 7|Colonna Vertebrale|骨，脊椎，椎骨，颈7|颈椎7|脊柱|العظام، العمود الفقري، الفقرات، عنقي 7|عنقي 7|العمود الفقري|Кость, Позвоночник, Позвонок, Шейный 7|шейный позвонок 7|Позвоночник|1980|1638|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Thoracic 1|Thoracic Vertebra 1|Spine|Hueso, Columna Vertebral, Vértebras, Torácica 1|Vértebra Torácica 1|Espina|Os, Colonne Vertébrale, Vertèbres, Thoracique 1|Vertebra thoracique 1|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Toracico 1|Vertebra Toracica 1|Colonna Vertebrale|骨，脊柱，椎骨，胸1|胸椎1|脊柱|العظام، العمود الفقري، الفقرات، صدري 1|صدري 1|العمود الفقري|Кость, Позвоночник, Позвонок, грудной 1|грудной позвонок 1|Позвоночник|1972|1750|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Thoracic 2|Thoracic Vertebra 2|Spine|Hueso, Columna Vertebral, Vértebras, Torácica 2|Vértebra Torácica 2|Espina|Os, Colonne Vertébrale, Vertèbres, Thoracique 2|Vertebra thoracique 2|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Toracico 2|Vertebra Toracica 2|Colonna Vertebrale|骨，脊柱，椎骨，胸2|胸椎2|脊柱|العظام، العمود الفقري، الفقرات، صدري 2|صدري 2|العمود الفقري|Кость, Позвоночник, Позвонок, грудной 2|грудной позвонок 2|Позвоночник|1980|1862|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Thoracic 3|Thoracic Vertebra 3|Spine|Hueso, Columna Vertebral, Vértebras, Torácica 3|Vértebra Torácica 3|Espina|Os, Colonne Vertébrale, Vertèbres, Thoracique 3|Vertebra thoracique 3|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Toracico 3|Vertebra Toracica 3|Colonna Vertebrale|骨，脊柱，椎骨，胸3|胸椎3|脊柱|العظام، العمود الفقري، الفقرات، صدري 3|صدري 3|العمود الفقري|Кость, Позвоночник, Позвонок, грудной 3|грудной позвонок 3|Позвоночник|2092|1966|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Thoracic 4|Thoracic Vertebra 4|Spine|Hueso, Columna Vertebral, Vértebras, Torácica 4|Vértebra Torácica 4|Espina|Os, Colonne Vertébrale, Vertèbres, Thoracique 4|Vertebra thoracique 4|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Toracico 4|Vertebra Toracica 4|Colonna Vertebrale|骨，脊柱，椎骨，胸4|胸椎4|脊柱|العظام، العمود الفقري، الفقرات، صدري 4|صدري 4|العمود الفقري|Кость, Позвоночник, Позвонок, грудной 4|грудной позвонок 4|Позвоночник|2084|2134|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Thoracic 5|Thoracic Vertebra 5|Spine|Hueso, Columna Vertebral, Vértebras, Torácica 5|Vértebra Torácica 5|Espina|Os, Colonne Vertébrale, Vertèbres, Thoracique 5|Vertebra thoracique 5|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Toracico 5|Vertebra Toracica 5|Colonna Vertebrale|骨，脊柱，椎骨，胸5|胸椎5|脊柱|العظام، العمود الفقري، الفقرات، صدري 5|صدري 5|العمود الفقري|Кость, Позвоночник, Позвонок, грудной 5|грудной позвонок 5|Позвоночник|2092|2341|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Thoracic 6|Thoracic Vertebra 6|Spine|Hueso, Columna Vertebral, Vértebras, Torácica 6|Vértebra Torácica 6|Espina|Os, Colonne Vertébrale, Vertèbres, Thoracique 6|Vertebra thoracique 6|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Toracico 6|Vertebra Toracica 6|Colonna Vertebrale|骨，脊柱，椎骨，胸6|胸椎6|脊柱|العظام، العمود الفقري، الفقرات، صدري 6|صدري 6|العمود الفقري|Кость, Позвоночник, Позвонок, грудной 6|грудной позвонок 6|Позвоночник|2100|2557|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Thoracic 7|Thoracic Vertebra 7|Spine|Hueso, Columna Vertebral, Vértebras, Torácica 7|Vértebra Torácica 7|Espina|Os, Colonne Vertébrale, Vertèbres, Thoracique 7|Vertebra thoracique 7|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Toracico 7|Vertebra Toracica 7|Colonna Vertebrale|骨，脊柱，椎骨，胸7|胸椎7|脊柱|العظام، العمود الفقري، الفقرات، صدري 7|صدري 7|العمود الفقري|Кость, Позвоночник, Позвонок, грудной 7|грудной позвонок 7|Позвоночник|2100|2789|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Thoracic 8|Thoracic Vertebra 8|Spine|Hueso, Columna Vertebral, Vértebras, Torácica 8|Vértebra Torácica 8|Espina|Os, Colonne Vertébrale, Vertèbres, Thoracique 8|Vertebra thoracique 8|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Toracico 8|Vertebra Toracica 8|Colonna Vertebrale|骨，脊柱，椎骨，胸8|胸椎8|脊柱|العظام، العمود الفقري، الفقرات، صدري 8|صدري 8|العمود الفقري|Кость, Позвоночник, Позвонок, грудной 8|грудной позвонок 8|Позвоночник|2076|3029|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Thoracic 9|Thoracic Vertebra 9|Spine|Hueso, Columna Vertebral, Vértebras, Torácica 9|Vértebra Torácica 9|Espina|Os, Colonne Vertébrale, Vertèbres, Thoracique 9|Vertebra thoracique 9|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Toracico 9|Vertebra Toracica 9|Colonna Vertebrale|骨，脊柱，椎骨，胸9|胸椎9|脊柱|العظام، العمود الفقري، الفقرات، صدري 9|صدري 9|العمود الفقري|Кость, Позвоночник, Позвонок, грудной 9|грудной позвонок 9|Позвоночник|2092|3253|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Thoracic 10|Thoracic Vertebra 10|Spine|Hueso, Columna Vertebral, Vértebras, Torácica 10|Vértebra Torácica 10|Espina|Os, Colonne Vertébrale, Vertèbres, Thoracique 10|Vertebra thoracique 10|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Toracico 10|Vertebra Toracica 10|Colonna Vertebrale|骨，脊柱，椎骨，胸10|胸椎10|脊柱|العظام، العمود الفقري، الفقرات، صدري 10|صدري 10|العمود الفقري|Кость, Позвоночник, Позвонок, грудной 10|грудной позвонок 10|Позвоночник|2100|3484|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Thoracic 11|Thoracic Vertebra 11|Spine|Hueso, Columna Vertebral, Vértebras, Torácica 11|Vértebra Torácica 11|Espina|Os, Colonne Vertébrale, Vertèbres, Thoracique 11|Vertebra thoracique 11|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Toracico 11|Vertebra Toracica 11|Colonna Vertebrale|骨，脊柱，椎骨，胸11|胸椎11|脊柱|العظام، العمود الفقري، الفقرات، صدري 11|صدري 11|العمود الفقري|Кость, Позвоночник, Позвонок, грудной 11|грудной позвонок 11|Позвоночник|2028|3676|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Thoracic 12|Thoracic Vertebra 12|Spine|Hueso, Columna Vertebral, Vértebras, Torácica 12|Vértebra Torácica 12|Espina|Os, Colonne Vertébrale, Vertèbres, Thoracique 12|Vertebra thoracique 12|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Toracico 12|Vertebra Toracica 12|Colonna Vertebrale|骨，脊椎，椎骨，胸12|胸椎12|脊柱|العظام، العمود الفقري، الفقرات، صدري 12|صدري 12|العمود الفقري|Кость, Позвоночник, Позвонок, грудной 12|грудной позвонок 12|Позвоночник|2012|3908|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Lumbar 1|Lumbar Vertebra 1|Spine|Hueso, Columna Vertebral, Vértebras, Lumbar 1|Vértebra Lumbar 1|Espina|Os, Colonne Vertébrale, Vertèbres, Lombaire 1|Vertèbre lombaire 1|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Lombare 1|Vertebra Lombare 1|Colonna Vertebrale|骨，脊椎，椎骨，腰椎1|腰椎1|脊柱|العظام، العمود الفقري، الفقرات، القطني 1|القطني 1|العمود الفقري|Кость, Позвоночник, Позвонок, Поясничный 1|Поясничный позвонок 1|Позвоночник|2100|4172|15 - BONES - 07.jpg|15 - Bones
Bone, Spine, Vertebrae, Lumbar 2|Lumbar Vertebra 2|Spine|Hueso, Columna Vertebral, Vértebras, Lumbar 2|Vértebra Lumbar 2|Espina|Os, Colonne Vertébrale, Vertèbres, Lombaire 2|Vertèbre lombaire 2|Colonne Vertébrale|Osso, Colonna Vertebrale, Vertebre, Lombare 2|Vertebra Lombare 2|Colonna Vertebrale|骨，脊柱，椎骨，腰椎2|腰椎2|脊柱|العظام، العمود الفقري، الفقرات، القطني 2|القطني 2|العمود الفقري|Кость, Позвоночник, Позвонок, Поясничный 2|Поясничный позвонок 2|Позвоночник|2132|4380|15 - BONES - 07.jpg|15 - Bones
Bone, Shoulder, Clavicle|Clavicle|Shoulder|Hueso, Hombro, Clavícula|Clavícula|Hombro|Os, Épaule, Clavicule|Clavicule|Épaule|Osso, Spalla, Clavicola|Clavicola|Spalla|骨，肩，锁骨|锁骨|肩|العظام، الكتف، الترقوة|الترقوة|كتف|Кость, Плечо, Ключица|ключица|Плечо|2747|1886|15 - BONES - 07.jpg|15 - Bones
Bone, Shoulder, Scapula, Acromion|Acromion of Scapula|Shoulder|Hueso, Hombro, Omóplato, Acromion|Acromión de la Escápula|Hombro|Os, Épaule, Scapula, Acromion|Acromion de Scapula|Épaule|Osso, Spalla, Scapola, Acromion|Acromion Della Scapola|Spalla|骨，肩，肩胛骨，肩峰|肩胛骨肩峰|肩|العظام، الكتف، كتف، الأخرم|الأخرم|كتف|Кость, Плечо, Лопатка, Акромион|Акромон лопатки|Плечо|3123|1934|15 - BONES - 07.jpg|15 - Bones
Bone, Shoulder, Scapula, Spine|Spine of Scapula|Shoulder|Hueso, Hombro, Omóplato, Espina de la Escápula|Espina de la Escápula|Hombro|Os, Épaule, Scapula, Colonne Vertébrale|Colonne vertébrale de l'omoplate|Épaule|Osso, Spalla, Scapola, Colonna Vertebrale|Spina Della Scapola|Spalla|骨，肩，肩胛骨，肩胛冈|肩胛冈|肩|العظام، الكتف، الكتف، العمود الفقري|العمود الفقري|كتف|Кость, Плечо, Лопатка, ость|ость лопатки|Плечо|2747|2110|15 - BONES - 07.jpg|15 - Bones
Bone, Shoulder, Scapula, Infraspinous Fossa|Infraspinous Fossa of Scapula|Shoulder|Hueso, Hombro, Omóplato, Fosa Infraspinosa|Fosa Infraspinosa de la Escápula|Hombro|Os, Épaule, Omoplate, Fosse Infraspineuse|Fossa infraspineuse de l'omoplate|Épaule|Osso, Spalla, Scapola, Fossa Infraspinata|Fossa Infraspinata Di Scapola|Spalla|骨，肩，肩胛骨，棘间窝|肩胛骨棘间窝|肩|العظام، الكتف، الكتف، الحفره تحت شوكة الكتف|الحفره تحت شوكة الكتف|كتف|Кость, Плечо, Лопатка, подостная ямка|подостная ямка лопатки|Плечо|2603|2549|15 - BONES - 07.jpg|15 - Bones
